Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
"Goody Science&Technology Co.,Ltd (SZSE:002694)",SZSE:002694,Commodity Chemicals (Primary),Public Company,NM, 0.509 , 1.89 , (9.41)  , (31.9)  , 0.482 , 2.44 , 0.531 , 22.8 
"Gpro Titanium Industry Co., Ltd. (SZSE:000545)",SZSE:000545,Commodity Chemicals (Primary),Public Company,NM, 0.767 , 1.97 , 4.35 , (11.1)  , 1.29 , 4.37 , 0.614 , 22.6 
"Grace Fabric Technology Co.,Ltd. (SHSE:603256)",SHSE:603256,Commodity Chemicals (Primary),Public Company, 71.8 , 1.94 , 5.42 ,-, 8.02 , 3.41 , 23.2 , 0.301 , 24.0 
Grand Pacific Petrochemical Corporation (TWSE:1312),TWSE:1312,Commodity Chemicals (Primary),Public Company, 4.4 , 1.41 , 0.872 , (9.24)  , 21.0 , 4.46 , 19.8 , 0.489 , 3.8 
Great Lakes Carbon Income Fund,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Great Rich Technologies Limited (KOSDAQ:A900290),KOSDAQ:A900290,Commodity Chemicals (Primary),Public Company, 1.49 ,-, 0.112 , 5.33 , 7.83 , 3.75 , 19.7 , 0.571 , 4.19 
"Green Global Investments, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Green Planet Group, Inc. (OTCPK:GNPG)",OTCPK:GNPG,Commodity Chemicals (Primary),Public Company, 4.68 , 0.201 ,NM,-,-,-,-,-,-
"Green Star Products, Inc. (OTCPK:GSPI)",OTCPK:GSPI,Commodity Chemicals (Primary),Public Company,NM, 0.02 , 33.6 ,-,-,-,-,-,-
"Greystone Logistics, Inc. (OTCPK:GLGI)",OTCPK:GLGI,Commodity Chemicals (Primary),Public Company, 10.2 , 1.84 , 4.15 , 12.4 , 55.7 , 0.685 , 18.8 , 1.7 , 77.7 
"Grupo Zuliano, C.A. (CCSE:GZL)",CCSE:GZL,Commodity Chemicals (Primary),Public Company,NM, 0 , 34.4 ,-, (518.0)  , 0.003 ,-,-, 73.8 
"Guangdong Guoli Sci & Tech Co., Ltd. (SZSE:300716)",SZSE:300716,Commodity Chemicals (Primary),Public Company,NM, 1.82 , 2.66 , 36.5 , (41.2)  , 0.981 , (3.84)  , 0.965 , 59.4 
"Guangdong Huiyun Titanium Industry Co., Ltd. (SZSE:300891)",SZSE:300891,Commodity Chemicals (Primary),Public Company, 54.4 , 3.49 , 5.65 , 7.79 ,-, 2.7 , 18.0 , 0.801 , 5.88 
"GuangDong Leary New Material Technology Co.,Ltd (SHSE:688683)",SHSE:688683,Commodity Chemicals (Primary),Public Company, 25.2 , 3.37 , 3.52 ,-,-, 5.54 , 21.1 , 0.73 , 1.39 
"Guangdong Modern High-tech Fiber Co., Ltd (SZSE:300876)",SZSE:300876,Commodity Chemicals (Primary),Public Company, 29.2 , 6.44 , 3.77 ,-,-, 10.6 , 23.9 , 0.669 , 0.165 
"Guangdong Orient Zirconic Ind Sci & Tech Co., Ltd. (SZSE:002167)",SZSE:002167,Commodity Chemicals (Primary),Public Company,NM, 1.26 , 3.86 , 0.473 , (11.6)  , 0.569 , (1.87)  , 0.339 , 44.6 
"Guangdong Rongtai Industry Co.,Ltd (SHSE:600589)",SHSE:600589,Commodity Chemicals (Primary),Public Company,NM, 0.417 , 1.07 , (12.6)  , (62.8)  , 1.55 , (49.4)  , 0.27 , 50.7 
"Guangdong Silver Age Sci & Tech Co.,Ltd. (SZSE:300221)",SZSE:300221,Commodity Chemicals (Primary),Public Company, 26.5 , 1.72 , 3.45 , (12.5)  , 13.5 , 2.21 , 8.5 , 1.08 , 15.3 
"Guangdong Sunwill Precising Plastic Co.,Ltd (SZSE:002676)",SZSE:002676,Commodity Chemicals (Primary),Public Company, 51.8 , 0.757 , 2.39 , 6.98 , 4.71 , 1.54 , 7.62 , 0.894 , 28.6 
"Guangdong Tianan New Material Co., Ltd. (SHSE:603725)",SHSE:603725,Commodity Chemicals (Primary),Public Company, 24.8 , 1.58 , 1.86 , (0.228)  , 6.33 , 1.18 , 9.96 , 0.641 , 36.8 
"Guangdong Xinhui Meida Nylon Co., Ltd. (SZSE:000782)",SZSE:000782,Commodity Chemicals (Primary),Public Company, 18.3 , 0.721 , 1.25 , (9.47)  , 6.99 , 1.28 , 4.03 , 0.857 , 26.0 
Guangdong Xiongsu Technology Group Ltd. (SZSE:300599),SZSE:300599,Commodity Chemicals (Primary),Public Company, 15.1 , 2.31 , 1.89 , 11.1 , 13.3 , 2.98 , 14.6 , 0.975 , 3.01 
"Guangzhou Tinci Materials Technology Co., Ltd. (SZSE:002709)",SZSE:002709,Commodity Chemicals (Primary),Public Company, 119.7 , 20.8 , 25.0 , 34.6 , 22.0 , 1.33 , 28.1 , 0.726 , 25.6 
"Guardsman Products, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Gujarat Alkalies and Chemicals Limited (BSE:530001),BSE:530001,Commodity Chemicals (Primary),Public Company, 17.9 , 7.34 , 0.553 , (0.308)  , 3.33 , 1.78 , 14.7 , 0.372 , 7.48 
Gujchem Distillers India Limited (BSE:506640),BSE:506640,Commodity Chemicals (Primary),Public Company, 22.9 , 2.23 , 0.512 ,-, 2.25 , 56.6 ,-,-,-
Gulf Oil Lubricants India Limited (BSE:538567),BSE:538567,Commodity Chemicals (Primary),Public Company, 17.4 , 12.53 , 4.0 , 7.44 , 24.5 , 2.05 , 16.1 , 1.14 , 19.6 
"Gulf Resources, Inc. (NasdaqGS:GURE)",NasdaqGS:GURE,Commodity Chemicals (Primary),Public Company,NM, 9.64 , 0.263 , (24.7)  , (2.8)  , 9.94 , 11.4 , 0.098 , 3.69 
"Gun Ei Chemical Industry Co., Ltd. (TSE:4229)",TSE:4229,Commodity Chemicals (Primary),Public Company, 10.0 , 29.63 , 0.381 , (1.54)  , 4.02 , 3.79 , 15.4 , 0.491 , 1.15 
"Hanchang Ind.Co.,Ltd (KOSDAQ:A079170)",KOSDAQ:A079170,Commodity Chemicals (Primary),Public Company, 31.6 , 10.72 , 0.89 , 1.46 , 2.84 , 9.7 , 3.9 , 0.93 , 2.36 
"Hangjin Technology Co., Ltd. (SZSE:000818)",SZSE:000818,Commodity Chemicals (Primary),Public Company, 56.6 , 5.98 , 6.34 , 2.4 , 11.1 , 1.29 , 17.6 , 0.762 , 22.3 
"Hangzhou Gaoxin Rubber & Plastic Materials Co., Ltd. (SZSE:300478)",SZSE:300478,Commodity Chemicals (Primary),Public Company,NM, 1.95 , 20.1 , (15.9)  , (95.8)  , 0.691 ,-, 0.676 , 75.7 
"Hangzhou Juheshun New Material Co., Ltd. (SHSE:605166)",SHSE:605166,Commodity Chemicals (Primary),Public Company, 17.1 , 1.93 , 2.38 ,-, 16.0 , 1.62 , 6.49 , 1.52 ,-
"Hangzhou Todaytec Digital Co., Ltd (SZSE:300743)",SZSE:300743,Commodity Chemicals (Primary),Public Company, 49.5 , 2.42 , 4.01 , 4.69 , 8.25 , 2.39 , 8.59 , 0.762 , 20.9 
"Hanil Chemical Ind. Co., Ltd. (KOSDAQ:A007770)",KOSDAQ:A007770,Commodity Chemicals (Primary),Public Company,NM, 20.48 , 0.657 , (17.2)  , (0.662)  , 2.55 , 1.84 , 0.658 , 27.7 
"Hankuk Carbon Co., Ltd. (KOSE:A017960)",KOSE:A017960,Commodity Chemicals (Primary),Public Company, 9.15 , 14.03 , 1.34 , 22.3 , 15.6 , 2.85 , 19.1 , 0.94 , 6.52 
Hanoi Plastics Joint Stock Company (HOSE:NHH),HOSE:NHH,Commodity Chemicals (Primary),Public Company,-, 3.63 ,-,-,-,-,-,-,-
Hanwha Solutions Corporation (KOSE:A009830),KOSE:A009830,Commodity Chemicals (Primary),Public Company, 11.6 , 55.53 , 1.17 , 0.448 , 9.67 , 1.27 , 13.6 , 0.597 , 50.3 
Hardcastle and Waud Manufacturing Company Limited (BSE:509597),BSE:509597,Commodity Chemicals (Primary),Public Company,NM, 4.29 , 0.46 , (7.63)  , 0.026 , 1.58 , 31.2 , 0.089 ,-
"Harima Chemicals Group, Inc. (TSE:4410)",TSE:4410,Commodity Chemicals (Primary),Public Company, 20.7 , 10.97 , 0.654 , (5.0)  , 3.99 , 1.7 , 6.25 , 0.893 , 32.1 
"Hawkins, Inc. (NasdaqGS:HWKN)",NasdaqGS:HWKN,Commodity Chemicals (Primary),Public Company, 16.3 , 42.3 , 2.49 , 5.79 , 16.4 , 2.31 , 13.2 , 1.39 , 29.4 
Haycarb PLC (COSE:HAYC.N0000),COSE:HAYC.N0000,Commodity Chemicals (Primary),Public Company, 9.95 , 0.69 , 2.27 , 18.0 , 27.6 , 1.84 , 19.8 , 1.14 , 24.7 
"HDC HOLDINGS CO.,Ltd (KOSE:A012630)",KOSE:A012630,Commodity Chemicals (Primary),Public Company, 6.36 , 15.39 , 0.314 , 44.5 , 5.7 , 1.78 , 12.2 , 0.572 , 41.4 
Headway Advanced Materials Inc. (TWSE:1776),TWSE:1776,Commodity Chemicals (Primary),Public Company, 21.9 , 0.859 , 1.23 , (13.1)  , 5.98 , 2.67 , 10.3 , 0.732 , 30.5 
"HeBei Jinniu Chemical Industry Co.,Ltd (SHSE:600722)",SHSE:600722,Commodity Chemicals (Primary),Public Company,NM, 1.37 , 4.39 , (18.0)  , 2.14 , 7.31 , 4.05 , 0.328 ,-
"Hemp, Inc (OTCPK:HEMP)",OTCPK:HEMP,Commodity Chemicals (Primary),Public Company,NM, 0.01 , 2.87 , 186.5 , (61.4)  , 15.0 ,-, 0.054 , 54.8 
"Henan Jindan Lactic Acid Technology Co., Ltd (SZSE:300829)",SZSE:300829,Commodity Chemicals (Primary),Public Company, 83.5 , 10.92 , 7.12 , 19.4 , 10.4 , 1.79 , 15.8 , 0.693 , 4.53 
"Hengli Petrochemical Co.,Ltd. (SHSE:600346)",SHSE:600346,Commodity Chemicals (Primary),Public Company, 10.6 , 4.86 , 3.21 , 51.7 , 34.3 , 0.672 , 17.6 , 0.834 , 69.8 
"Hengyi Petrochemical Co., Ltd. (SZSE:000703)",SZSE:000703,Commodity Chemicals (Primary),Public Company, 13.0 , 2.51 , 1.73 , 10.1 , 14.4 , 0.723 , 7.68 , 0.971 , 63.0 
Hil Industries Berhad (KLSE:HIL),KLSE:HIL,Commodity Chemicals (Primary),Public Company, 11.7 , 0.304 , 0.838 , 17.6 , 7.21 , 5.35 , 22.5 , 0.336 , 0.061 
Himadri Speciality Chemical Limited (BSE:500184),BSE:500184,Commodity Chemicals (Primary),Public Company, 25.0 , 1.02 , 1.34 ,-,-,-, 8.96 , 0.677 , 22.8 
Hindustan Fluorocarbons Limited (BSE:524013),BSE:524013,Commodity Chemicals (Primary),Public Company,NM, 0.192 ,NM, (56.1)  ,NM, 0.511 ,-, 0.054 , 248.8 
Hindustan Organic Chemicals Limited (BSE:500449),BSE:500449,Commodity Chemicals (Primary),Public Company, 178.5 , 0.736 , 11.8 , 14.1 ,NM, 1.11 , 6.38 , 0.295 , 100.3 
Ho Tung Chemical Corp. (TWSE:1714),TWSE:1714,Commodity Chemicals (Primary),Public Company, 6.19 , 0.566 , 0.929 , (5.45)  , 17.7 , 3.18 , 17.7 , 1.08 , 18.9 
Hoa Binh Rubber Joint Stock Company (HOSE:HRC),HOSE:HRC,Commodity Chemicals (Primary),Public Company, 190.9 , 3.65 , 3.54 , 4.69 , 1.86 , 0.819 , 5.3 , 0.178 , 34.6 
Holland Colours N.V. (ENXTAM:HOLCO),ENXTAM:HOLCO,Commodity Chemicals (Primary),Public Company, 15.4 , 271.18 , 2.91 , 4.77 , 19.6 , 2.91 , 15.4 , 1.46 , 3.06 
Holliday Chemical Holdings plc,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Hongbaoli Group Corporation, Ltd. (SZSE:002165)",SZSE:002165,Commodity Chemicals (Primary),Public Company, 23.4 , 0.97 , 1.66 , 9.78 , 7.34 , 1.0 , 10.9 , 0.641 , 54.4 
"Hongda Xingye Co., Ltd. (SZSE:002002)",SZSE:002002,Commodity Chemicals (Primary),Public Company, 14.6 , 0.832 , 1.31 , (4.68)  , 11.1 , 0.795 , 34.1 , 0.311 , 47.9 
HsinLi Chemical Industrial Corp. (TPEX:4303),TPEX:4303,Commodity Chemicals (Primary),Public Company, 21.9 , 0.902 , 1.52 , (8.97)  , 6.71 , 2.11 , 8.92 , 0.277 , 19.4 
"Huafon Chemical Co., Ltd. (SZSE:002064)",SZSE:002064,Commodity Chemicals (Primary),Public Company, 15.3 , 2.5 , 4.2 , 62.5 , 31.6 , 1.97 , 28.2 , 0.804 , 22.7 
"Huafon Microfibre (Shanghai) Co., Ltd. (SZSE:300180)",SZSE:300180,Commodity Chemicals (Primary),Public Company,NM, 1.03 , 1.68 , 10.3 , (8.22)  , 1.31 , 20.0 , 0.391 , 22.3 
"Hubei Huitian New Materials Co., Ltd. (SZSE:300041)",SZSE:300041,Commodity Chemicals (Primary),Public Company, 24.6 , 3.02 , 2.97 , 12.6 , 12.8 , 1.57 , 13.9 , 0.718 , 14.6 
"Hubei Kailong Chemical Group Co., Ltd. (SZSE:002783)",SZSE:002783,Commodity Chemicals (Primary),Public Company, 53.8 , 1.84 , 1.94 , 18.1 , 4.33 , 0.622 , 19.4 , 0.362 , 46.5 
"Hubei Shuanghuan Science and Technology Stock Co.,Ltd (SZSE:000707)",SZSE:000707,Commodity Chemicals (Primary),Public Company,NM, 0.665 ,NM, (23.3)  ,NM, 0.336 , 4.93 , 0.535 , 112.3 
Hubei Xiangyuan New Material Technology Inc. (SZSE:300980),SZSE:300980,Commodity Chemicals (Primary),Public Company, 24.2 , 8.78 , 6.91 , 33.2 ,-, 1.6 , 31.8 , 0.797 , 16.0 
"Hubei Xingfa Chemicals Group Co., Ltd. (SHSE:600141)",SHSE:600141,Commodity Chemicals (Primary),Public Company, 18.9 , 3.7 , 2.02 , 5.66 , 9.42 , 0.552 , 15.4 , 0.635 , 53.7 
"Hubei Zhenhua Chemical Co.,Ltd. (SHSE:603067)",SHSE:603067,Commodity Chemicals (Primary),Public Company, 20.1 , 1.5 , 1.88 , 10.8 , 9.71 , 1.86 , 15.3 , 0.731 , 19.6 
Hulytego S.A.I.C. (BASE:HULI),BASE:HULI,Commodity Chemicals (Primary),Public Company, 3.72 ,-, 0.341 ,-, 11.0 , 3.9 ,-,-,-
"Hunan Nanling Industrial Explosive Materials Co., Ltd. (SZSE:002096)",SZSE:002096,Commodity Chemicals (Primary),Public Company, 84.5 , 1.61 , 1.42 , (4.34)  , 2.06 , 1.21 , 8.55 , 0.521 , 26.0 
"Hunan Yussen Energy Technology Co., Ltd. (SZSE:002986)",SZSE:002986,Commodity Chemicals (Primary),Public Company, 114.1 , 7.61 , 2.17 , (6.14)  , 2.01 , 4.69 , 2.48 , 1.32 ,-
Hydratec Industries NV (ENXTAM:HYDRA),ENXTAM:HYDRA,Commodity Chemicals (Primary),Public Company, 19.5 , 98.1 , 1.26 , 8.71 , 5.59 , 0.891 , 6.44 , 1.05 , 44.9 
Hygæa Farver og Lakker A/S,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Hyosung Advanced Materials Corporation (KOSE:A298050),KOSE:A298050,Commodity Chemicals (Primary),Public Company, 48.4 , 465.92 , 4.74 ,-, 12.3 , 0.616 , 10.7 , 0.976 , 80.9 
Hyosung Chemical Corporation (KOSE:A298000),KOSE:A298000,Commodity Chemicals (Primary),Public Company, 36.8 , 400.21 , 2.35 ,-, 6.42 , 0.806 , 14.8 , 0.811 , 80.6 
I G Petrochemicals Limited (BSE:500199),BSE:500199,Commodity Chemicals (Primary),Public Company, 10.0 , 11.11 , 2.29 , (0.602)  , 25.9 , 1.33 , 26.6 , 0.904 , 17.0 
IBU-tec advanced materials AG (XTRA:IBU),XTRA:IBU,Commodity Chemicals (Primary),Public Company, 174.9 , 69.87 , 5.34 , 25.0 , 3.1 , 2.53 , 20.6 , 0.607 , 29.6 
Ikon Ventures Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"ILYA Co., Ltd (KOSDAQ:A058450)",KOSDAQ:A058450,Commodity Chemicals (Primary),Public Company,NM,-, 1.45 , (51.4)  , (8.7)  , 0.936 ,NM, 0.182 , 55.2 
India Gelatine & Chemicals Limited (BSE:531253),BSE:531253,Commodity Chemicals (Primary),Public Company, 17.1 , 1.92 , 0.706 , 11.4 ,-,-, 4.52 , 1.1 ,-
India Glycols Limited (BSE:500201),BSE:500201,Commodity Chemicals (Primary),Public Company, 20.6 , 9.48 , 1.52 ,-,-,-, 11.9 , 0.887 , 49.1 
Indian Petrochemicals Corporation Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Indo Borax & Chemicals Limited (BSE:524342),BSE:524342,Commodity Chemicals (Primary),Public Company, 17.0 , 25.81 , 3.07 , 12.6 , 22.0 , 5.15 , 30.5 , 0.851 ,-
Indorama Ventures Public Company Limited (SET:IVL),SET:IVL,Commodity Chemicals (Primary),Public Company, 32.4 , 1.75 , 1.69 , 5.18 , 6.04 , 1.03 , 10.1 , 0.8 , 61.1 
Industrial Asphalts (Ceylon) PLC (COSE:ASPH.N0000),COSE:ASPH.N0000,Commodity Chemicals (Primary),Public Company, 7.07 , 0.003 , 1.68 , 36.6 , 26.7 , 1.62 , 38.7 , 0.451 , 14.0 
"Industrial Enterprises of America, Inc. (OTCPK:IEAM)",OTCPK:IEAM,Commodity Chemicals (Primary),Public Company,NM,-, 0 ,-,-,-,-,-,-
Industrias Estra S.A. (BVC:ESTRA),BVC:ESTRA,Commodity Chemicals (Primary),Public Company,NM,-, 0.34 , 2.69 , (1.39)  , 1.63 , 13.1 , 0.865 , 58.7 
Industries Chimiques du Fluor (BVMT:ICF),BVMT:ICF,Commodity Chemicals (Primary),Public Company,NM, 34.1 , 1.68 , (0.152)  , (11.2)  , 2.7 , (5.39)  , 0.876 , 11.1 
INEOS Styrolution India Limited (BSE:506222),BSE:506222,Commodity Chemicals (Primary),Public Company, 8.93 , 25.81 , 2.81 , (4.62)  , 37.4 , 2.96 , 25.9 , 1.39 , 8.09 
Infimer Ltd (TASE:INFR-M),TASE:INFR-M,Commodity Chemicals (Primary),Public Company,NM, 6.57 ,NM, 31.6 ,NM, 0.017 ,-, 0.054 ,NM
Infinity Development Holdings Company Limited (SEHK:640),SEHK:640,Commodity Chemicals (Primary),Public Company, 5.53 , 0.114 , 0.871 , (1.48)  , 16.7 , 2.77 , 15.9 , 0.967 , 8.4 
"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd. (SHSE:601216)",SHSE:601216,Commodity Chemicals (Primary),Public Company, 8.52 , 1.11 , 2.06 , 23.8 , 24.8 , 1.07 , 31.7 , 0.454 , 19.9 
"Inner Mongolia Yuan Xing Energy Co.,Ltd (SZSE:000683)",SZSE:000683,Commodity Chemicals (Primary),Public Company, 30.7 , 0.936 , 1.57 , (6.17)  , 4.92 , 0.487 , 23.2 , 0.329 , 28.1 
Insilco Limited (BSE:500211),BSE:500211,Commodity Chemicals (Primary),Public Company,NM, 0.143 , 1.83 , (75.2)  , (103.8)  , 2.87 ,-, 0.021 , 0.037 
INTEK Diversified Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Intermediate Petrochemicals Industries Co. Ltd (ASE:IPCH),ASE:IPCH,Commodity Chemicals (Primary),Public Company,NM,-, 0.962 , (8.11)  , (27.7)  , 0.847 , (8.56)  , 0.381 , 60.0 
"International CSRC Investment Holdings Co., Ltd. (TWSE:2104)",TWSE:2104,Commodity Chemicals (Primary),Public Company, 20.7 , 1.23 , 0.8 , (4.53)  , 3.39 , 1.77 , 16.3 , 0.336 , 22.8 
Iplast ASA,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
IR Operating Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Iran Amlah Co. Mineral Salts,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Iran Carbon Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Iran Chemical Industries Investment Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
ISE Chemicals Corporation (TSE:4107),TSE:4107,Commodity Chemicals (Primary),Public Company, 13.7 , 42.35 , 0.688 , 5.29 , 5.1 , 4.9 , 20.4 , 0.549 , 2.4 
Isik Plastik Sanayi ve Dis Ticaret Pazarlama Anonim Sirketi (IBSE:ISKPL),IBSE:ISKPL,Commodity Chemicals (Primary),Public Company,-, 4.39 ,-,-,-,-,-,-,-
Island View Storage Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Israel Petrochemical Enterprises Ltd. (TASE:PTCH),TASE:PTCH,Commodity Chemicals (Primary),Public Company,NM, 0.447 ,NM,-,NM, 0 ,-,-, 314.3 
"ISU Chemical Co., Ltd (KOSE:A005950)",KOSE:A005950,Commodity Chemicals (Primary),Public Company,NM, 14.62 , 1.15 , (3.61)  , (35.9)  , 1.13 , (1.13)  , 1.29 , 61.7 
Itaconix plc (AIM:ITX),AIM:ITX,Commodity Chemicals (Primary),Public Company,NM, 0.246 ,NM, 63.4 ,NM, 1.71 , (36.8)  , 0.851 , 338.6 
Ittehad Chemicals Limited (KASE:ICL),KASE:ICL,Commodity Chemicals (Primary),Public Company, 5.82 , 0.331 , 0.757 , 22.3 , 13.5 , 1.17 , 15.6 , 0.951 , 42.6 
IVP Limited (NSEI:IVP),NSEI:IVP,Commodity Chemicals (Primary),Public Company, 30.9 , 2.44 , 1.83 , 2.36 , 6.1 , 0.956 , 5.62 , 1.1 , 61.8 
IZOBLOK S.A. (WSE:IZB),WSE:IZB,Commodity Chemicals (Primary),Public Company,NM, 13.13 , 0.468 , (8.62)  , (12.5)  , 1.81 , 1.36 , 0.906 , 32.7 
"Jaanhbio, Inc. (KOSDAQ:A221610)",KOSDAQ:A221610,Commodity Chemicals (Primary),Public Company,NM, 14.86 , 1.19 , (25.7)  , (40.0)  , 0.633 , (49.3)  , 0.213 , 28.5 
"Jiang Su Suyan Jingshen Co.,Ltd. (SHSE:603299)",SHSE:603299,Commodity Chemicals (Primary),Public Company, 46.9 , 1.6 , 1.45 , 9.78 , 3.14 , 1.25 , 11.9 , 0.549 , 25.1 
"Jiang Xi Chenguang New Materials Co.,Ltd. (SHSE:605399)",SHSE:605399,Commodity Chemicals (Primary),Public Company, 18.6 , 3.89 , 2.88 ,-, 20.3 , 8.74 , 21.8 , 0.82 ,-
Jiangsu Aoyang Health Industry Co.ltd. (SZSE:002172),SZSE:002172,Commodity Chemicals (Primary),Public Company,NM, 1.12 , 4.16 , (13.5)  , (26.6)  , 0.591 , 1.53 , 0.483 , 74.4 
"Jiangsu Baichuan High-Tech New Materials Co., Ltd (SZSE:002455)",SZSE:002455,Commodity Chemicals (Primary),Public Company, 31.2 , 1.53 , 2.61 , 0.498 , 7.16 , 0.779 , 9.18 , 0.556 , 50.2 
"Jiangsu Boiln Plastics Co., Ltd. (SZSE:301003)",SZSE:301003,Commodity Chemicals (Primary),Public Company, 22.7 , 12.38 , 8.63 ,-,-, 2.48 , 26.3 , 1.33 , 20.2 
"Jiangsu Changhai Composite Materials Co., Ltd (SZSE:300196)",SZSE:300196,Commodity Chemicals (Primary),Public Company, 20.6 , 3.34 , 2.13 , 2.14 , 11.0 , 4.24 , 23.8 , 0.578 , 13.7 
"Jiangsu Eastern Shenghong Co., Ltd. (SZSE:000301)",SZSE:000301,Commodity Chemicals (Primary),Public Company, 104.1 , 3.27 , 3.91 ,-, 3.49 , 1.48 , 10.2 , 0.465 , 56.0 
"Jiangsu Gaoke Petrochemical Co., Ltd (SZSE:002778)",SZSE:002778,Commodity Chemicals (Primary),Public Company, 22.4 , 3.58 , 4.22 , 23.0 , 16.1 , 2.09 ,-, 0.822 , 36.0 
"Jiangsu Golden Material Technology Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Jiangsu Huaxin New Material Co.,Ltd. (SZSE:300717)",SZSE:300717,Commodity Chemicals (Primary),Public Company, 45.7 , 3.23 , 2.6 , (3.98)  , 5.83 , 7.76 , 22.1 , 0.398 ,-
Jiangsu Innovative Ecological New Materials Limited (SEHK:2116),SEHK:2116,Commodity Chemicals (Primary),Public Company, 7.61 , 0.072 , 0.592 , (5.05)  , 8.0 , 12.8 , 15.6 , 0.532 ,-
"Jiangsu Jiangnan High Polymer Fiber Co.,Ltd (SHSE:600527)",SHSE:600527,Commodity Chemicals (Primary),Public Company, 18.8 , 0.538 , 1.81 , (8.57)  , 9.82 , 12.3 , 26.4 , 0.448 , 0.115 
"Jiangsu Jiuding New Material Co., Ltd. (SZSE:002201)",SZSE:002201,Commodity Chemicals (Primary),Public Company, 187.0 , 3.61 , 8.15 , 20.0 , 4.57 , 0.786 , 16.9 , 0.696 , 46.8 
"JIANGSU LOPAL TECH.CO.,Ltd. (SHSE:603906)",SHSE:603906,Commodity Chemicals (Primary),Public Company, 55.0 , 6.32 , 7.35 , 18.8 , 14.9 , 2.12 , 16.4 , 0.747 , 16.8 
"Jiangsu Maysta Chemical Co., Ltd. (SHSE:603041)",SHSE:603041,Commodity Chemicals (Primary),Public Company, 15.5 , 2.56 , 1.9 , 13.3 , 12.8 , 7.08 , 24.3 , 0.415 , 0.325 
"Jiangsu Sidike New Materials Science & Technology Co., Ltd. (SZSE:300806)",SZSE:300806,Commodity Chemicals (Primary),Public Company, 37.8 , 8.5 , 6.08 ,-, 17.4 , 0.949 , 15.6 , 0.582 , 51.6 
Jiangsu SOPO Chemical Co. Ltd. (SHSE:600746),SHSE:600746,Commodity Chemicals (Primary),Public Company, 24.6 , 3.59 , 4.03 , 87.2 , 20.9 , 4.17 , 27.9 , 1.06 , 6.35 
"Jiangsu Yida Chemical Co., Ltd. (SZSE:300721)",SZSE:300721,Commodity Chemicals (Primary),Public Company, 125.8 , 7.03 , 2.79 , (3.56)  , 2.11 , 0.628 , 8.71 , 0.505 , 46.8 
"Jiangsu Yoke Technology Co., Ltd. (SZSE:002409)",SZSE:002409,Commodity Chemicals (Primary),Public Company, 79.2 , 14.8 , 6.81 , 33.3 , 8.54 , 2.52 , 20.3 , 0.413 , 5.41 
"Jiangsu Yuxing Film Technology Co., Ltd (SZSE:300305)",SZSE:300305,Commodity Chemicals (Primary),Public Company, 16.8 , 2.34 , 1.86 , 21.1 , 11.8 , 6.41 , 21.7 , 0.542 , 5.11 
"Jiangsu Zhongda New Material Group Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Jiangxi Black Cat Carbon Black Inc.,Ltd (SZSE:002068)",SZSE:002068,Commodity Chemicals (Primary),Public Company, 14.6 , 1.56 , 1.71 , (4.72)  , 12.1 , 1.14 , 13.5 , 0.788 , 38.0 
"JiangXi ChangJiu Biochemical Industry Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-, (12.9)  , (16.1)  , 1.19 , (2.32)  , 1.46 , 11.8 
