Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
BioChem Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Biome Technologies plc (AIM:BIOM),AIM:BIOM,Commodity Chemicals (Primary),Public Company,NM, 7.61 , 3.91 , (2.91)  , (38.1)  , 3.61 , (28.4)  , 0.991 , 10.1 
Birla Carbon (Thailand) Public Company Limited (SET:BCT),SET:BCT,Commodity Chemicals (Primary),Public Company, 12.8 , 1.89 , 0.638 , (11.2)  , 5.07 , 4.85 , 23.5 , 0.234 , 0.008 
Blagden plc,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Blessings Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Blue Star New Chemical Materials Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Bluestar Adisseo Company (SHSE:600299),SHSE:600299,Commodity Chemicals (Primary),Public Company, 22.8 , 2.52 , 2.33 , 3.27 , 9.1 , 1.89 , 26.6 , 0.571 , 4.39 
Boai NKY Medical Holdings Ltd. (SZSE:300109),SZSE:300109,Commodity Chemicals (Primary),Public Company, 47.3 , 2.88 , 1.42 , 25.9 , 2.69 , 1.15 , 20.9 , 0.235 , 19.9 
Bodal Chemicals Limited (BSE:524370),BSE:524370,Commodity Chemicals (Primary),Public Company, 31.4 , 1.94 , 1.41 ,-,-,-, 8.14 , 0.993 , 21.6 
Bontex Inc. (OTCPK:BOTX),OTCPK:BOTX,Commodity Chemicals (Primary),Public Company,NM, 0.046 , 0.015 ,-,-,-,-,-,-
Bonyad PP Fiber Prod Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Boubyan Petrochemical Company K.S.C.P. (KWSE:BPCC),KWSE:BPCC,Commodity Chemicals (Primary),Public Company, 25.0 , 4.12 , 1.98 , 33.2 , 8.4 , 1.39 , 19.2 , 0.119 , 47.4 
Bowler Metcalf Limited (JSE:BCF),JSE:BCF,Commodity Chemicals (Primary),Public Company, 7.52 , 0.888 , 0.969 , 1.16 , 12.9 , 9.0 , 20.3 , 0.735 , 0.518 
Braskem S.A. (BOVESPA:BRKM5),BOVESPA:BRKM5,Commodity Chemicals (Primary),Public Company,NM, 14.41 , 100.0 , 11.4 ,NM, 1.19 , 23.5 , 0.759 , 106.8 
Bright Brothers Limited (BSE:526731),BSE:526731,Commodity Chemicals (Primary),Public Company, 12.7 , 2.32 , 1.46 , (1.8)  , 12.2 , 1.08 , 9.11 , 1.4 , 25.7 
"Brightec, Inc. (OTCPK:BRTE)",OTCPK:BRTE,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
"BYON Co., Ltd. (KOSDAQ:A032980)",KOSDAQ:A032980,Commodity Chemicals (Primary),Public Company,NM, 1.81 , 2.5 , 2.68 , (16.8)  , 3.38 , (7.01)  , 0.412 , 10.8 
C.I.TAKIRON Corporation (TSE:4215),TSE:4215,Commodity Chemicals (Primary),Public Company, 10.4 , 6.97 , 0.649 , (3.1)  , 6.48 , 1.98 , 10.3 , 0.935 , 6.83 
Cabot Corporation (NYSE:CBT),NYSE:CBT,Commodity Chemicals (Primary),Public Company,NM, 76.01 , 3.94 , (2.31)  , (11.6)  , 1.89 , 16.9 , 0.904 , 60.0 
Calix Limited (ASX:CXL),ASX:CXL,Commodity Chemicals (Primary),Public Company,NM, 2.62 , 16.0 , 73.2 , (22.9)  , 1.18 , 17.8 , 0.413 , 2.54 
Calnetics Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Canhorn Chemical Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Caprihans India Limited (BSE:509486),BSE:509486,Commodity Chemicals (Primary),Public Company, 11.7 , 2.83 , 1.41 , 3.73 ,-,-, 6.68 , 1.67 ,-
Capro Corporation (KOSE:A006380),KOSE:A006380,Commodity Chemicals (Primary),Public Company,NM, 5.92 , 1.57 , (18.0)  , (29.9)  , 1.0 , (10.9)  , 0.753 , 49.7 
